Date,Open,High,Low,Close,Volume,log_return,vol_past,vol_future,vol_expansion,vol_percentile,vol_compression,trend_strength
2015-02-27,181.36540416281517,184.24354442256953,180.73414371246815,183.07730102539062,18659378,0.01596461202591658,0.015864067260763892,0.010703019896065978,0,0.1,0.753434568480624,0.020168895813750032
2015-03-02,185.9554372260285,187.34636143153838,183.0772970290994,184.93899536132812,14579511,0.010117542267367325,0.015939149986802563,0.01695455684741086,0,0.15,0.7570004838517221,0.01566463867587186
2015-03-03,185.9554639262373,193.9693100339436,185.6130930827343,192.76028442382812,20636925,0.04142135141087237,0.01869643961886235,0.02092132093457667,0,0.95,0.8879528613195815,0.013948396256760646
2015-03-04,193.87298815397747,194.6540500885291,188.32000476800712,189.98910522460938,14476047,-0.014480637711170922,0.017290580002251706,0.02120328588377529,0,0.45,0.9248060248223781,0.007564725389931173
2015-03-05,190.98415056690584,192.3215793319759,187.9134268069372,189.36854553222656,10716702,-0.003271636908672596,0.017219598345754494,0.023922864821448096,0,0.4,0.9210094914746276,-0.0001921694044570414
2015-03-09,189.40063069312518,190.8236520656184,184.91758484346377,186.09451293945312,14065391,-0.017440413944775315,0.017536111909536956,0.02439691548699667,0,0.75,0.9379385737081851,-0.007141068630766923
2015-03-10,185.94473446187305,187.41055224966092,183.04519614763234,183.84765625,15234060,-0.012147219238117981,0.017442930372515066,0.006410588557798946,0,0.7,0.9329546549021746,-0.013765116956288414
2015-03-11,184.2328554743766,186.08384057706047,182.40325426348716,183.1629180908203,11635873,-0.0037314399178472514,0.017225692969293393,0.010110227498304203,0,0.45,0.9213354692363375,-0.01805491179908601
2015-03-12,183.6015896445869,185.613075295397,183.08800485955376,184.84271240234375,11782380,0.009129240636087086,0.017066907887309718,0.010974308983135603,0,0.4,0.9128426713977864,-0.020810731488040236
2015-03-13,185.95545674480417,186.0838458061595,181.2477292679663,181.9110870361328,12936157,-0.015987225282715962,0.01655027106948182,0.0097794594652885,0,0.3,0.8852097729230054,-0.026766761602352994
2015-03-16,182.21065854911555,182.73492811785326,179.8139915415307,180.1991729736328,13839990,-0.009455279265070029,0.01635174070266033,0.013622870232125687,0,0.2,0.8745911540378782,-0.03449026137959677
2015-03-17,182.00734103226077,184.00812729417396,179.96375842545055,183.35546875,19070082,0.01736396523423612,0.016792443254224246,0.014777816276655076,0,0.35,0.8981626232880612,-0.04068694368730837
2015-03-18,183.38759528846785,186.65091709935052,182.89542295907717,185.88055419921875,9269885,0.013677564795118557,0.016926231810076114,0.01603003889007274,0,0.45,0.9053184539477602,-0.044324469884577035
2015-03-19,187.3570483646431,187.60312735711426,182.76701164027128,183.2056884765625,13934612,-0.01449478330733959,0.017155951087679276,0.014048341863778074,0,0.5,0.9176052466358935,-0.047991860162533394
2015-03-20,183.5801737532895,184.27564301850518,181.59008631534266,182.76702880859375,10405717,-0.0023972272102313155,0.017141274502937526,0.015080658535215627,0,0.45,0.9168202530734324,-0.05058292914761002
2015-03-23,183.28058850662916,184.88549441073982,179.34321021313397,180.1670684814453,13251683,-0.01432769653604004,0.015906050415675443,0.012617694888540613,0,0.1,0.8507529101759164,-0.05053885452041578
2015-03-24,180.19916701223235,182.8098156821211,180.19916701223235,181.45098876953125,9238431,0.007101004263464269,0.015030037457105443,0.009094426962240703,0,0.05,0.8038983765626708,-0.049035609160943246
2015-03-25,181.67569360019246,181.78268447671076,179.9637824379149,180.79833984375,10264941,-0.003603317275645167,0.014806749695509863,0.010231015882493907,0,0.05,0.7919555807070198,-0.04644665522993255
